equipe,division,prenom,nom,nat,age,points_ranking,rang_pcs,points_carriere,specialite,slug
alpecin-premier-tech-2026,WorldTeam,Jasper,PHILIPSEN,BE,28,1924,6,12124,Sprint,jasper-philipsen
alpecin-premier-tech-2026,WorldTeam,Mathieu,VAN DER POEL,NL,31,1500,11,12443,Oneday,mathieu-van-der-poel
alpecin-premier-tech-2026,WorldTeam,Tibor,DEL GROSSO,NL,23,378,157,1005,Hills,tibor-del-grosso
alpecin-premier-tech-2026,WorldTeam,Gerben,THIJSSEN,BE,28,327,185,2645,Sprint,gerben-thijssen
alpecin-premier-tech-2026,WorldTeam,Emiel,VERSTRYNGE,BE,24,281,235,419,Climber,emiel-verstrynge
alpecin-premier-tech-2026,WorldTeam,Ramses,DEBRUYNE,BE,23,258,263,359,Climber,ramses-debruyne
alpecin-premier-tech-2026,WorldTeam,Francesco,BUSATTO,IT,23,214,309,827,Hills,francesco-busatto
alpecin-premier-tech-2026,WorldTeam,Jensen,PLOWRIGHT,AU,26,206,328,627,Sprint,jensen-plowright
alpecin-premier-tech-2026,WorldTeam,Henri,UHLIG,DE,25,192,353,465,Hills,henri-uhlig
alpecin-premier-tech-2026,WorldTeam,Edward,PLANCKAERT,BE,31,141,443,1044,Oneday,edward-planckaert
alpecin-premier-tech-2026,WorldTeam,Gal,GLIVAR,SI,24,138,451,377,Hills,gal-glivar
alpecin-premier-tech-2026,WorldTeam,Simon,DEHAIRS,BE,25,120,499,603,Sprint,simon-dehairs
alpecin-premier-tech-2026,WorldTeam,Senna,REMIJN,NL,20,109,533,126,Oneday,senna-remijn
alpecin-premier-tech-2026,WorldTeam,Luca,VERGALLITO,IT,28,86,621,414,GC,luca-vergallito
alpecin-premier-tech-2026,WorldTeam,Jonas,RICKAERT,BE,32,82,638,1191,Oneday,jonas-rickaert
alpecin-premier-tech-2026,WorldTeam,Jonas,GEENS,BE,27,81,644,207,GC,jonas-geens
