equipe,division,prenom,nom,nom_jeu,nat,nat_ioc,an,age,pla,mon,spr,chr,pun,end,pav,moy,pot,points_ranking,rang_pcs,points_carriere,specialite_pcs,score_pave,poids,taille,slug
alpecin-premier-tech-2026,WorldTeam,Jasper,PHILIPSEN,J. Philipsen,BE,BEL,1998,28,91,59,93,72,76,83,94,79,79,1924,6,12124,Sprint,480.8,75.0,1.76,jasper-philipsen
alpecin-premier-tech-2026,WorldTeam,Mathieu,VAN DER POEL,M. van der Poel,NL,NED,1995,31,89,63,80,77,80,84,94,79,79,1500,11,12443,Oneday,960.5,75.0,1.84,mathieu-van-der-poel
alpecin-premier-tech-2026,WorldTeam,Tibor,DEL GROSSO,T. Del Grosso,NL,NED,2003,23,70,63,65,63,75,73,73,68,71,378,157,1005,Hills,54.4,70.0,1.9,tibor-del-grosso
alpecin-premier-tech-2026,WorldTeam,Gerben,THIJSSEN,G. Thijssen,BE,BEL,1998,28,82,48,87,62,65,73,70,70,70,327,185,2645,Sprint,0.0,74.0,1.74,gerben-thijssen
alpecin-premier-tech-2026,WorldTeam,Emiel,VERSTRYNGE,E. Verstrynge,BE,BEL,2002,24,59,77,48,65,69,76,54,66,68,281,235,419,Climber,0.0,69.0,1.89,emiel-verstrynge
alpecin-premier-tech-2026,WorldTeam,Ramses,DEBRUYNE,R. Debruyne,BE,BEL,2002,24,57,77,47,63,69,75,53,65,67,258,263,359,Climber,0.0,66.0,1.79,ramses-debruyne
alpecin-premier-tech-2026,WorldTeam,Francesco,BUSATTO,F. Busatto,IT,ITA,2002,24,66,65,62,60,77,70,66,67,69,214,309,827,Hills,11.8,62.0,1.72,francesco-busatto
alpecin-premier-tech-2026,WorldTeam,Jensen,PLOWRIGHT,J. Plowright,AU,AUS,2000,26,78,43,84,59,59,69,66,65,65,206,328,627,Sprint,0.0,80.0,1.76,jensen-plowright
alpecin-premier-tech-2026,WorldTeam,Henri,UHLIG,H. Uhlig,DE,GER,2001,25,67,57,63,59,70,68,60,64,64,192,353,465,Hills,0.0,69.0,1.8,henri-uhlig
alpecin-premier-tech-2026,WorldTeam,Edward,PLANCKAERT,E. Planckaert,BE,BEL,1995,31,76,49,70,62,65,70,70,65,65,141,443,1044,Oneday,16.8,71.0,1.78,edward-planckaert
alpecin-premier-tech-2026,WorldTeam,Gal,GLIVAR,G. Glivar,SI,SLO,2002,24,63,63,58,59,73,69,58,64,66,138,451,377,Hills,0.0,64.0,1.71,gal-glivar
alpecin-premier-tech-2026,WorldTeam,Simon,DEHAIRS,S. Dehairs,BE,BEL,2001,25,77,40,83,57,56,68,65,64,64,120,499,603,Sprint,0.0,82.0,1.92,simon-dehairs
alpecin-premier-tech-2026,WorldTeam,Senna,REMIJN,S. Remijn,NL,NED,2006,20,69,50,61,59,64,67,63,62,69,109,533,126,Oneday,0.0,68.0,1.87,senna-remijn
alpecin-premier-tech-2026,WorldTeam,Luca,VERGALLITO,L. Vergallito,IT,ITA,1997,29,59,75,44,67,65,74,53,64,64,86,621,414,GC,0.0,67.0,1.9,luca-vergallito
alpecin-premier-tech-2026,WorldTeam,Jonas,RICKAERT,J. Rickaert,BE,BEL,1994,32,77,42,68,63,59,69,64,63,63,82,638,1191,Oneday,0.0,88.0,1.9,jonas-rickaert
alpecin-premier-tech-2026,WorldTeam,Jonas,GEENS,J. Geens,BE,BEL,1999,27,62,64,49,66,61,70,58,62,62,81,644,207,GC,9.7,78.0,1.83,jonas-geens
alpecin-premier-tech-2026,WorldTeam,Sente,SENTJENS,S. Sentjens,BE,BEL,2005,21,74,38,79,56,56,65,65,61,67,72,686,190,Sprint,0.0,85.0,1.91,sente-sentjens
alpecin-premier-tech-2026,WorldTeam,Silvan,DILLIER,S. Dillier,CH,SUI,1990,36,70,47,60,61,60,67,59,61,61,70,691,2939,Oneday,0.0,75.0,1.83,silvan-dillier
alpecin-premier-tech-2026,WorldTeam,Tim,MARSMAN,T. Marsman,NL,NED,2000,26,72,43,74,58,56,66,61,62,62,65,724,232,Sprint,0.0,75.0,1.91,tim-marsman
alpecin-premier-tech-2026,WorldTeam,Tobias,BAYER,T. Bayer,AT,AUT,1999,27,71,52,63,62,64,70,61,64,64,65,723,510,Oneday,0.0,70.0,1.87,tobias-bayer
alpecin-premier-tech-2026,WorldTeam,Florian,SÉNÉCHAL,F. Sénéchal,FR,FRA,1993,33,76,46,68,62,64,69,70,64,64,59,764,4287,Oneday,22.7,77.0,1.79,florian-senechal
alpecin-premier-tech-2026,WorldTeam,Michael,GOGL,M. Gogl,AT,AUT,1993,33,69,52,59,60,64,68,59,62,62,58,774,1199,Oneday,0.0,71.0,1.86,michael-gogl
